Epoch [122/272], Loss: 0.015146821042493222
Epoch [123/272], Loss: 0.015005304936378722
Epoch [124/272], Loss: 0.015077866584299103
Epoch [125/272], Loss: 0.015027738959779815
Epoch [126/272], Loss: 0.01511418182284586
Epoch [127/272], Loss: 0.015194188803434372
Epoch [128/272], Loss: 0.015283603901191363
Epoch [129/272], Loss: 0.014733051230746603
Epoch [130/272], Loss: 0.014794253212000643
Epoch [131/272], Loss: 0.014616263542501699
Epoch [132/272], Loss: 0.014740496992118775
Epoch [133/272], Loss: 0.01500567521840807
Epoch [134/272], Loss: 0.015092417996908938
Epoch [135/272], Loss: 0.014950371465630947
Epoch [136/272], Loss: 0.014805205210688569
Epoch [137/272], Loss: 0.014705253735421196
Epoch [138/272], Loss: 0.014801057513862376
Epoch [139/272], Loss: 0.014673200022015307
Epoch [140/272], Loss: 0.014712606423667498
Epoch [141/272], Loss: 0.01473814473738746
Epoch [142/272], Loss: 0.015091082923823879
Epoch [143/272], Loss: 0.014978798372404916
Epoch [144/272], Loss: 0.014694476840160196
Epoch [145/272], Loss: 0.01443665793963841
Epoch [146/272], Loss: 0.01469595990483723
Epoch [147/272], Loss: 0.01442462100928265
Epoch [148/272], Loss: 0.014553746371160425
Epoch [149/272], Loss: 0.014738757281549393
Epoch [150/272], Loss: 0.014373020535068852
Epoch [151/272], Loss: 0.014335582964122295
Epoch [152/272], Loss: 0.014567285258736875
Epoch [153/272], Loss: 0.014460419984682211
Epoch [154/272], Loss: 0.014497831596859865
Epoch [155/272], Loss: 0.014339578781454336
Epoch [156/272], Loss: 0.01472765930174362
Epoch [157/272], Loss: 0.014806252017262437
Epoch [158/272], Loss: 0.014242406180571942
Epoch [159/272], Loss: 0.014220739433926249
Epoch [160/272], Loss: 0.014218845256855564
Epoch [161/272], Loss: 0.014241273928847577
Epoch [162/272], Loss: 0.0144238652336219
Epoch [163/272], Loss: 0.014432925642246292
Epoch [164/272], Loss: 0.014126980854641823
Epoch [165/272], Loss: 0.01418352419776576
Epoch [166/272], Loss: 0.014359450958196133
Epoch [167/272], Loss: 0.014063246326432341
Epoch [168/272], Loss: 0.014853622291296248
Epoch [169/272], Loss: 0.014264727218283547
Epoch [170/272], Loss: 0.014069333376865539
Epoch [171/272], Loss: 0.014300247683884606
Epoch [172/272], Loss: 0.014186082659141412
Epoch [173/272], Loss: 0.014099696414574744
Epoch [174/272], Loss: 0.014017484771708647
Epoch [175/272], Loss: 0.014035622116237406
Epoch [176/272], Loss: 0.014147049821321927
Epoch [177/272], Loss: 0.01401614322371426
Epoch [178/272], Loss: 0.01414362546647825
Epoch [179/272], Loss: 0.014506343456487807
Epoch [180/272], Loss: 0.014112012726919991
Epoch [181/272], Loss: 0.014284102113119193
Epoch [182/272], Loss: 0.01426072446777234
Epoch [183/272], Loss: 0.014233133253005762
Epoch [184/272], Loss: 0.01411028750359066
Epoch [185/272], Loss: 0.013973459350093016
Epoch [186/272], Loss: 0.01407890919122904
Epoch [187/272], Loss: 0.013721092382357233
Epoch [188/272], Loss: 0.01415673340301192
Epoch [189/272], Loss: 0.014127172529697418
Epoch [190/272], Loss: 0.014078101823254236
Epoch [191/272], Loss: 0.014032687592719282
Epoch [192/272], Loss: 0.014154906975962812
Epoch [193/272], Loss: 0.013767266498198585
Epoch [194/272], Loss: 0.013773628747061131
Epoch [195/272], Loss: 0.013746682480568923
Epoch [196/272], Loss: 0.01413952736627488
Epoch [197/272], Loss: 0.013643308956589963
Epoch [198/272], Loss: 0.013650904971337507
Epoch [199/272], Loss: 0.014160625976584261
Epoch [200/272], Loss: 0.01383823063224554
Epoch [201/272], Loss: 0.013894550768392426
Epoch [202/272], Loss: 0.013908646483388212
Epoch [203/272], Loss: 0.013653266687123548
Epoch [204/272], Loss: 0.013658306354449855
Epoch [205/272], Loss: 0.013929638272476575
Epoch [206/272], Loss: 0.01395718450288451
Epoch [207/272], Loss: 0.013722786118113806
Epoch [208/272], Loss: 0.013881131666638548
Epoch [209/272], Loss: 0.013819197355400003
Epoch [210/272], Loss: 0.013602878558375532
Epoch [211/272], Loss: 0.013503869433724692
Epoch [212/272], Loss: 0.013658096570344199
Epoch [213/272], Loss: 0.013965019586658666
Epoch [214/272], Loss: 0.013742044420232849
Epoch [215/272], Loss: 0.0137444892454715
Epoch [216/272], Loss: 0.013907463452409185
Epoch [217/272], Loss: 0.013900054796111016
Epoch [218/272], Loss: 0.013661570935731842
Epoch [219/272], Loss: 0.01372254520122494
Epoch [220/272], Loss: 0.013622214337663046
Epoch [221/272], Loss: 0.013513931147162877
Epoch [222/272], Loss: 0.014121149400515216
Epoch [223/272], Loss: 0.013350854199084024
Epoch [224/272], Loss: 0.01336623833233875
Epoch [225/272], Loss: 0.01330229499569488
Epoch [226/272], Loss: 0.013633982751459356
Epoch [227/272], Loss: 0.013476290030493623
Epoch [228/272], Loss: 0.013407352395237439
Epoch [229/272], Loss: 0.013319635438540625
Epoch [230/272], Loss: 0.01337640569914901
Epoch [231/272], Loss: 0.013485731276136542
Epoch [232/272], Loss: 0.013427761072913805
Epoch [233/272], Loss: 0.013444755122893386
Epoch [234/272], Loss: 0.013531797240296054
Epoch [235/272], Loss: 0.013644878427305865
Epoch [236/272], Loss: 0.013409414151239963
Epoch [237/272], Loss: 0.013264286671839064
Epoch [238/272], Loss: 0.013337527342613727
Epoch [239/272], Loss: 0.013397943775450427
Epoch [240/272], Loss: 0.013292851547400156
Epoch [241/272], Loss: 0.013243792282920035
Epoch [242/272], Loss: 0.013337344832954899
Epoch [243/272], Loss: 0.013338781967167817
Epoch [244/272], Loss: 0.01355394015886954
Epoch [245/272], Loss: 0.013393157753088171
Epoch [246/272], Loss: 0.01350180550463616
Epoch [247/272], Loss: 0.013163344949365609
Epoch [248/272], Loss: 0.01337779453763413
Epoch [249/272], Loss: 0.013271195651401602
Epoch [250/272], Loss: 0.013231234447587104
Epoch [251/272], Loss: 0.013149415394143453
Epoch [252/272], Loss: 0.013221296733097425
Epoch [253/272], Loss: 0.013541213236749172
Epoch [254/272], Loss: 0.013648340493322366
Epoch [255/272], Loss: 0.013238383102275077
Epoch [256/272], Loss: 0.013216358328622484
Epoch [257/272], Loss: 0.013352655495206514
Epoch [258/272], Loss: 0.013163425649205843
Epoch [259/272], Loss: 0.012994753610756662
Epoch [260/272], Loss: 0.013137190203581537
Epoch [261/272], Loss: 0.012981347562301727
Epoch [262/272], Loss: 0.013113737150671937
